,strain,cluster,in_ocs,lean,sweet,strawberry,earthy,blue cheese,sage,honey,rose,tree fruit,violet,coffee,pear,spicy/herbal,tropical,pungent,tea,apricot,mint,pepper,flowery,ammonia,blueberry,berry,chemical,pine,woody,lime,plum,nutty,citrus,orange,mango,diesel,lemon,pineapple,apple,grape,menthol,chestnut,skunk,grapefruit,peach,butter,lavender,tar,tobacco,vanilla,focused,inflammation,dizzy,energetic,lack of appetite,happy,creative,muscle spasms,sleepy,stress,tingly,aroused,anxious,nausea,fatigue,cramps,uplifted,headache,talkative,paranoid,hungry,giggle,depression,relaxed,pain,seizures,euphoric,spasticity,eye pressure,headaches,insomnia,strain_type
299,Blue Sky,1,0,0.5,,,1,,,,,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.840425532,,,0.931863727,0.258517034,,,,0.336673347,,0.053191489,,,0.5,,0.053191489,,0.053191489,,,0.721518987,0.466933868,,0.46835443,1,,,0.626582278,1,hybrid
300,Blue Steel,2,0,0.82,1,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,0.853321033,,0.559105431,0.430811808,0.865814696,,,,,,,0.922509225,,,,,,0.813099042,1,1,,0.45295203,,,,0.626198083,indica
301,Blue Thai,3,0,0.5,1,,1,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,0.772727273,,0.954545455,,,,1,,,,,1,,0.954545455,,,,,,0.5,1,0.5,,0.772727273,,,,0.5,hybrid
302,Blue Trainwreck,0,0,0.27,1,,,,,,,,,,,,,,,,,,,,1,,,,,,,,1,,,,,,,,,,,,,,,,,,,,0.072289157,0.766616314,,,,,,1,,0.73489426,1,0.694656489,,,,,,0.024096386,0.592145015,,,1,0.954198473,,1,0.648854962,,0.755725191,,sativa
303,Blue Treat,1,0,0.5,,,1,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.833333333,0.333333333,,,1,0.333333333,,,,,,0.833333333,,,,,,0.4,1,0.2,,,,,0.2,0.2,hybrid
304,Blue Velvet,2,0,0.5,1,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,0.25,,1,1,0.571428571,0.75,,,,,,,1,,,0.5,,0.25,,0.571428571,0.75,1,0.75,,0.857142857,,,,,hybrid
305,Blue Venom,2,0,0.565,1,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,0.480519481,,0.160714286,,,0.834415584,,,,1,,,0.732142857,,,,,,0.373376623,0.026785714,,,0.908695652,1,,,0.655844156,,0.408695652,0.473913043,0.513043478,hybrid
306,Blue Widow,3,0,0.57,,,1,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,0.640610284,,0.116355956,,,,0.628366924,,0.602247755,,,,0.060244283,,,0.550769231,0.759716205,,,0.024795665,,,0.524324324,1,1,,,,0.554511435,0.580706861,,hybrid
307,Blue Wolf,3,0,0.25,1,,1,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,1,,,,0.5,0.823529412,,0.214285714,0.5,,,,,1,1,,0.823529412,1,,1,,1,,,,,sativa
308,Blue Wreck,3,0,0.5,,,1,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,1,,,,,,,,,,1,,,1,,0.6,0.917159763,1,,,0.012820513,,,,,,,0.006410256,0.964497041,0.952662722,0.7,,0.8,,0.98816568,,,0.7,,hybrid
309,Blue Zkittlez,2,0,0.7,1,,,,,,,,,,,,,,,,,,,,,1,,,,,,,1,,,,,,,,,,,,,,,,,,,0.721014493,0.42192691,,,0.794816415,,,0.531317495,1,,,0.026578073,,,,0.578833693,0.023255814,,,,,0.847826087,1,0.992753623,,0.423326134,,,0.539855072,,indica
310,Blue Zombie,1,0,0.7,,,1,,,,,,,1,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,0.444444444,,0.25,,,,,0.935483871,1,,,,0.5,,,0.483870968,,,,0.5,0.259259259,,0.483870968,0.666666667,1,,0.222222222,,,,0.612903226,indica
